year,zip,sold
2014,98292,316
2014,98293,1
2014,98294,99
2014,98296,394
2014,98354,15
2014,98391,1
2014,98422,
2014,98526,
2015,98001,530
2015,98002,362
2015,98003,510
2015,98004,622
2015,98005,321
2015,98006,700
2015,98007,293
2015,98008,372
2015,98010,81
2015,98011,436
2015,98012,1756
2015,98014,119
2015,98019,240
2015,98020,387
2015,98021,511
2015,98022,319
2015,98023,749
2015,98024,70
2015,98025,1
2015,98026,647
2015,98027,488
2015,98028,483
2015,98029,757
2015,98030,437
2015,98031,498
2015,98032,398
2015,98033,910
2015,98034,975
2015,98036,630
2015,98037,387
2015,98038,734
2015,98039,65
2015,98040,387
2015,98042,839
2015,98043,284
2015,98045,301
2015,98047,77
2015,98050,4
2015,98051,36
2015,98052,1106
2015,98053,515
2015,98055,367
2015,98056,600
2015,98057,133
2015,98058,725
2015,98059,771
2015,98065,477
2015,98068,
2015,98070,176
2015,98072,431
2015,98074,611
2015,98075,549
2015,98077,224
2015,98087,608
2015,98092,732
2015,98101,159
2015,98102,342
2015,98103,779
2015,98104,70
2015,98105,326
2015,98106,503
2015,98107,479
2015,98108,232
2015,98109,389
2015,98112,344
2015,98115,783
2015,98116,486
2015,98117,610
2015,98118,639
2015,98119,411
2015,98121,626
2015,98122,591
2015,98125,553
2015,98126,480
2015,98133,814
2015,98134,2
2015,98136,360
2015,98144,530
2015,98146,404
2015,98148,108
2015,98155,614
2015,98164,12
2015,98166,328
2015,98168,408
2015,98177,371
2015,98178,349
2015,98188,220
2015,98198,528
2015,98199,452
2015,98201,465
2015,98203,547
2015,98204,452
2015,98205,4
2015,98206,9
2015,98208,1116
2015,98213,1
2015,98223,660
2015,98224,8
2015,98235,
2015,98241,24
2015,98251,73
2015,98252,170
2015,98256,5
2015,98258,1055
2015,98270,779
2015,98271,443
2015,98272,456
2015,98275,426
2015,98287,
2015,98288,13
2015,98290,609
2015,98292,364
2015,98293,1
2015,98294,159
2015,98296,455
2015,98354,12
2015,98391,
2015,98422,
2015,98526,
2016,98001,194
2016,98002,169
2016,98003,215
2016,98004,254
2016,98005,116
2016,98006,226
2016,98007,109
2016,98008,124
2016,98010,32
2016,98011,135
2016,98012,672
2016,98014,43
2016,98019,79
2016,98020,144
2016,98021,202
2016,98022,137
2016,98023,283
2016,98024,16
2016,98025,
2016,98026,264
2016,98027,201
2016,98028,179
2016,98029,285
2016,98030,148
2016,98031,191
2016,98032,135
2016,98033,355
2016,98034,351
2016,98036,196
2016,98037,110
2016,98038,249
2016,98039,15
2016,98040,112
2016,98042,271
2016,98043,98
2016,98045,114
2016,98047,36
2016,98050,1
2016,98051,18
2016,98052,334
2016,98053,140
2016,98055,158
2016,98056,199
2016,98057,43
2016,98058,265
2016,98059,275
2016,98065,116
2016,98068,
2016,98070,59
2016,98072,141
2016,98074,214
2016,98075,140
2016,98077,79
2016,98087,253
2016,98092,268
2016,98101,63
2016,98102,136
2016,98103,296
2016,98104,35
2016,98105,126
2016,98106,154
2016,98107,305
2016,98108,115
2016,98109,156
2016,98112,146
2016,98115,259
2016,98116,170
2016,98117,208
2016,98118,223
2016,98119,129
2016,98121,158
2016,98122,210
2016,98125,182
2016,98126,175
2016,98133,268
2016,98134,2
2016,98136,123
2016,98144,157
2016,98146,146
2016,98148,61
2016,98155,202
2016,98164,1
2016,98166,127
2016,98168,155
2016,98177,108
2016,98178,116
2016,98188,69
2016,98198,206
2016,98199,149
2016,98201,181
2016,98203,229
2016,98204,165
2016,98205,1
2016,98206,5
2016,98208,381
2016,98213,
2016,98223,270
2016,98224,4
2016,98235,
2016,98241,10
2016,98251,35
2016,98252,52
2016,98256,1
2016,98258,463
2016,98270,341
2016,98271,183
2016,98272,190
2016,98275,133
2016,98287,1
2016,98288,2
2016,98290,238
2016,98292,158
2016,98293,
2016,98294,49
2016,98296,188
2016,98354,6
2016,98391,
2016,98422,
2016,98526,
